iter	Logloss
0	0.6634607468
1	0.6338123025
2	0.606493264
3	0.582011448
4	0.5591483893
5	0.5402446646
6	0.5203265903
7	0.5012139967
8	0.4853361134
9	0.4714897341
10	0.4595358187
11	0.4489435913
12	0.4379450822
13	0.4282347245
14	0.4190150707
15	0.4075885088
16	0.3991116847
17	0.3895356609
18	0.3815349475
19	0.3728543645
20	0.3678304601
21	0.3591434124
22	0.3526665052
23	0.3481144809
24	0.3417016509
25	0.3362644533
26	0.3289151835
27	0.3248295252
28	0.3193214766
29	0.3139247076
30	0.3089136614
31	0.3053385292
32	0.3006131209
33	0.2970285767
34	0.2944700996
35	0.2912513849
36	0.2865719192
37	0.2818380022
38	0.2770486593
39	0.2749276707
40	0.271501537
41	0.2685194516
42	0.266162523
43	0.2625792385
44	0.2590293236
45	0.2545705867
46	0.2524611729
47	0.2491417315
48	0.2468671098
49	0.2451216716
50	0.2416789006
51	0.2399820907
52	0.239033886
53	0.2369899517
54	0.234952292
55	0.2323894179
56	0.2294748084
57	0.2280942965
58	0.2265082432
59	0.2259749479
60	0.2234143317
61	0.2219398193
62	0.2189976871
63	0.2167070698
64	0.2140441821
65	0.2112598661
66	0.2096946569
67	0.2074138319
68	0.2069460873
69	0.2037792809
70	0.2027641944
71	0.2013103122
72	0.2000168844
73	0.1987190597
74	0.1971225368
75	0.19649473
76	0.193654085
77	0.1932415762
