iter	Passed	Remaining
0	40	40939
1	93	46793
2	145	48259
3	197	49151
4	248	49505
5	305	50536
6	356	50574
7	409	50822
8	462	50956
9	519	51390
10	574	51692
11	630	51920
12	686	52098
13	740	52162
14	794	52157
15	854	52536
16	906	52391
17	960	52391
18	1011	52229
19	1062	52068
20	1122	52307
21	1179	52440
22	1238	52629
23	1294	52638
24	1352	52757
25	1407	52710
26	1463	52726
27	1515	52610
28	1586	53133
29	1643	53142
30	1711	53491
31	1772	53605
32	1832	53696
33	1891	53730
34	1945	53645
35	2001	53601
36	2056	53535
37	2124	53772
38	2178	53690
39	2233	53599
40	2286	53481
41	2345	53489
42	2396	53335
43	2451	53253
44	2517	53429
45	2568	53277
46	2631	53357
47	2683	53227
48	2746	53300
49	2802	53241
50	2857	53176
51	2913	53117
52	2969	53063
53	3022	52948
54	3073	52812
55	3124	52673
56	3178	52579
57	3229	52443
58	3280	52325
59	3332	52211
60	3385	52120
61	3437	52000
62	3490	51909
63	3543	51829
64	3599	51775
65	3654	51719
66	3708	51640
67	3761	51555
68	3814	51468
69	3868	51395
70	3920	51298
71	3972	51201
72	4023	51087
73	4076	51013
74	4130	50938
75	4181	50842
76	4242	50856
77	4295	50771
